(`TIME`, `PM10`, `PM25`, `NO2`, `O3`, `SO2`, `MAX_VALUE`, `LOKASI`, `LEVEL`),
('2024-02-12', 63, 182, 500, 24, 27, 500, 'Jakarta GBK', 'Hazardous'),
('2024-02-13', 56, 141, 49, 46, 11, 141, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-02-14', 45, 96, 49, 51, 11, 96, 'Jakarta GBK', 'Moderate'),
('2024-02-15', 63, 132, 50, 54, 12, 132, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-02-16', 105, 192, 50, 61, 15, 192, 'Jakarta GBK', 'Unhealthy'),
('2024-02-17', 68, 157, 50, 61, 13, 157, 'Jakarta GBK', 'Unhealthy'),
('2024-02-18', 63, 149, 50, 64, 12, 149, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-02-19', 79, 167, 49, 64, 13, 167, 'Jakarta GBK', 'Unhealthy'),
('2024-02-20', 74, 158, 50, 61, 12, 158, 'Jakarta GBK', 'Unhealthy'),
('2024-02-21', 108, 152, 50, 64, 14, 152, 'Jakarta GBK', 'Unhealthy'),
('2024-02-22', 107, 160, 50, 64, 14, 160, 'Jakarta GBK', 'Unhealthy'),
('2024-02-23', 56, 81, 25, 47, 11, 81, 'Jakarta GBK', 'Moderate'),
('2024-02-24', 57, 87, 24, 61, 11, 87, 'Jakarta GBK', 'Moderate'),
('2024-02-25', 43, 77, 25, 54, 11, 77, 'Jakarta GBK', 'Moderate'),
('2024-02-26', 41, 85, 17, 51, 6, 85, 'Jakarta GBK', 'Moderate'),
('2024-02-27', 75, 147, 17, 67, 8, 147, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-02-28', 67, 155, 16, 74, 7, 155, 'Jakarta GBK', 'Unhealthy'),
('2024-02-29', 58, 124, 14, 77, 7, 124, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-03-01', 71, 154, 14, 74, 9, 154, 'Jakarta GBK', 'Unhealthy'),
('2024-03-02', 76, 218, 15, 77, 8, 218, 'Jakarta GBK', 'Very Unhealthy'),
('2024-03-03', 59, 124, 15, 74, 8, 124, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-03-04', 59, 104, 19, 45, 14, 104, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-03-05', 36, 47, 16, 51, 7, 51, 'Jakarta GBK', 'Moderate'),
('2024-03-06', 35, 46, 17, 54, 7, 54, 'Jakarta GBK', 'Moderate'),
('2024-03-07', 32, 42, 16, 58, 7, 58, 'Jakarta GBK', 'Moderate'),
('2024-03-08', 25, 35, 16, 61, 7, 61, 'Jakarta GBK', 'Moderate'),
('2024-03-09', 52, 96, 13, 74, 7, 96, 'Jakarta GBK', 'Moderate'),
('2024-03-10', 92, 223, 12, 77, 11, 223, 'Jakarta GBK', 'Very Unhealthy'),
('2024-03-11', 62, 161, 15, 71, 9, 161, 'Jakarta GBK', 'Unhealthy'),
('2024-03-12', 73, 173, 15, 71, 7, 173, 'Jakarta GBK', 'Unhealthy'),
('2024-03-13', 72, 221, 14, 74, 7, 221, 'Jakarta GBK', 'Very Unhealthy'),
('2024-03-14', 71, 151, 12, 77, 8, 151, 'Jakarta GBK', 'Unhealthy'),
('2024-03-15', 48, 94, 12, 51, 7, 94, 'Jakarta GBK', 'Moderate'),
